iter	Logloss
0	0.65576632
1	0.6300627871
2	0.6010290229
3	0.5842488907
4	0.5575652568
5	0.5481214113
6	0.5330653519
7	0.5207442013
8	0.5080414532
9	0.4945542392
10	0.4827626712
11	0.475961852
12	0.4589617087
13	0.4534124175
14	0.4420096949
15	0.4405522985
16	0.4316307183
17	0.4268501078
18	0.4213403054
19	0.4079181807
20	0.4008711776
21	0.3972425641
22	0.381888228
23	0.3736472552
24	0.3633196594
25	0.3592843349
26	0.3565852105
27	0.3540634827
28	0.3447194846
29	0.3386843087
30	0.3291968651
31	0.3253278094
32	0.3226908474
33	0.3217486357
34	0.3163597158
35	0.3163533763
36	0.3141001002
37	0.3086588108
38	0.3081802323
39	0.3049637808
40	0.3000555415
41	0.2962482486
42	0.2954803174
43	0.2874017153
44	0.2852044831
45	0.282758473
46	0.2800500267
47	0.2755344562
48	0.272350493
49	0.2683822137
50	0.262124888
51	0.2584606008
52	0.2562044599
53	0.2539408342
54	0.2502343825
55	0.2473266486
56	0.2456216381
57	0.2438320032
58	0.2431334068
59	0.2397516338
60	0.2364948172
61	0.2359480953
62	0.2350440052
63	0.2290178713
64	0.2261801375
65	0.223815647
66	0.2227059049
67	0.2202044362
68	0.217545204
69	0.2135523032
70	0.2112103578
71	0.2104635336
72	0.2077543363
73	0.2057995594
74	0.2017765567
75	0.1990570299
76	0.1964260395
77	0.1956512458
78	0.1948414425
79	0.1928416722
80	0.1897768886
81	0.1878264614
82	0.186233398
83	0.182133555
84	0.182131067
85	0.1810766755
86	0.178285827
87	0.1763711173
88	0.1741325406
89	0.1730313568
90	0.1713136288
91	0.1705450677
92	0.1705241197
93	0.1672694777
94	0.1652216915
95	0.1628279524
96	0.161355284
97	0.1603223702
98	0.158490444
99	0.1580164218
100	0.1561489688
101	0.1550083164
102	0.1522886664
103	0.150420983
104	0.1486486034
105	0.1470288345
106	0.1453614699
107	0.1449234528
108	0.1431021442
109	0.1424201685
110	0.1399464239
111	0.1395404888
112	0.1387925826
113	0.1374179461
114	0.135708296
115	0.1333669903
116	0.1313380962
117	0.1290107647
118	0.1280853691
119	0.1254964145
120	0.1241241656
121	0.122395426
122	0.1213457026
123	0.1198235483
124	0.1193464417
125	0.1193290137
126	0.1191972227
127	0.117387938
128	0.1154359207
129	0.1151484804
130	0.1123241884
131	0.111208289
132	0.1097161709
133	0.1090586692
134	0.1074981867
135	0.1061088691
136	0.1050517098
137	0.1039913521
138	0.1025566619
139	0.1015103021
140	0.1011388103
141	0.1002453908
142	0.09946960602
143	0.09890925431
144	0.09853521856
145	0.09728741598
146	0.09590941317
147	0.09433301167
148	0.09303561251
149	0.09155790315
150	0.09119350709
151	0.08968468585
152	0.08842464941
153	0.08829304343
154	0.08813470789
155	0.08763658025
156	0.08645807602
157	0.08506760437
158	0.08400379853
159	0.0837303965
160	0.08292951891
161	0.08171297053
162	0.08069889727
163	0.08006933843
164	0.07913141568
165	0.07864526419
166	0.07751589538
167	0.07657931633
168	0.07648687882
169	0.07613657496
170	0.07505651379
171	0.07413196322
172	0.07364529961
173	0.07292456187
174	0.07250781574
175	0.07139288194
176	0.07051255731
177	0.07044529395
178	0.06956088549
179	0.06849295062
180	0.06843135364
181	0.06677455807
182	0.06605758081
183	0.06549163337
184	0.06470109562
185	0.0638271636
186	0.06337463899
187	0.06267251353
188	0.06220197038
189	0.06212899452
190	0.06108534429
191	0.06072547535
192	0.06012049794
193	0.05947377747
194	0.05873072356
195	0.05808063574
196	0.05801828875
197	0.05744335295
198	0.05654679432
199	0.0563976174
200	0.05584561226
201	0.05509640276
202	0.05486613787
203	0.05458676076
204	0.05392933978
205	0.0533350962
206	0.05245145652
207	0.05176751298
208	0.05162176325
209	0.05150298419
210	0.05051393494
211	0.04976989301
212	0.04921410447
213	0.04838707822
214	0.04803240946
215	0.04792585655
216	0.04764121044
217	0.04712041366
218	0.04688550613
219	0.04635653252
220	0.0462609325
221	0.04598687301
222	0.04533617251
223	0.04484870555
224	0.04428483557
225	0.04423446651
226	0.04418572451
227	0.04384371601
228	0.04343670419
229	0.04309521664
230	0.0430034217
231	0.04269859985
232	0.04260025224
233	0.04241251488
234	0.04199039564
235	0.04192575249
236	0.04186195841
237	0.04129529107
238	0.0406280732
239	0.04017126298
240	0.0400596011
241	0.03964905411
242	0.03940888114
243	0.03902833815
244	0.03880362487
245	0.03841940931
246	0.03832436388
247	0.03796658749
248	0.03739678349
249	0.03683127847
